steps	avg_reward	std_reward
0	-1255.5927504297495	347.5785974142328
1	-1314.3828387803849	296.60130416233415
2	-1253.453002428797	328.53846762687647
3	-1332.6081795798991	282.3369755553581
4	-1187.268731804831	247.0301709482016
5	-1251.9700446659604	187.1358786850469
6	-1342.6249849889398	276.05513908771667
7	-1344.928412695962	232.2619116416244
8	-1331.8492934596222	283.33109990991386
9	-1232.5060794840092	194.41147762098845
10	-1315.9256355678842	182.09972130233115
11	-1293.1055488421032	236.61930793992937
12	-1289.7574862301083	208.53214314716948
13	-1302.2501291145652	215.07161199837995
14	-1289.1413515342624	224.71298380630873
15	-1274.828625810444	190.93933965212833
16	-1314.74172704365	181.5576277119496
17	-1274.7814432742111	125.49720763486289
18	-1280.7750579082312	156.61334998072573
19	-1369.8329744414336	228.59173109992085
20	-1354.266085311595	150.1869636310275
21	-1349.9164071320881	127.7816372751599
22	-1346.902280927173	200.6992111092501
23	-1281.285038405639	154.81963356463234
24	-1307.5219930264147	169.8097782636576
25	-1287.0771610927873	168.5486304903888
26	-1312.2325287339938	173.18581702007145
27	-1312.8218539582435	89.777441493524
28	-1333.8802002139075	100.33069413184259
29	-1349.8613469323566	148.92541558052721
30	-1369.6063038543825	99.45542315495467
31	-1334.3250504738908	102.5040105354728
32	-1365.9329253513936	129.7926663527474
33	-1353.585990441886	46.79511541503938
34	-1447.5929476328963	151.8590522804278
35	-1347.0837212218044	106.44843734824319
36	-1365.1460718286094	93.70750557528272
37	-1389.3481558159383	120.16326421319917
38	-1387.7900302238713	98.39705256350229
39	-1440.4712498835322	151.72960633456918
40	-1431.1885221395596	150.23540521980146
41	-1428.8292310668382	167.05548982095223
42	-1443.0980205730386	143.26256684472233
43	-1438.7262421157645	129.66591441420834
44	-1409.9997492194334	117.54868428257907
45	-1465.0849986739663	78.32110224330106
46	-1421.5387700129113	90.25340847055259
47	-1450.2242890623268	116.17113745460776
48	-1378.3261367616867	112.20697745157385
49	-1336.1809680655438	190.72219529311116
50	-1356.583169849856	157.78640656640184
51	-1396.0380990583958	107.55660998776781
52	-1310.0102803655045	180.17056386018695
53	-1340.0412483645073	141.41763879746605
54	-1345.947362971521	198.92774909078565
55	-1320.1934599503752	139.15386118314797
56	-1315.587408709407	137.98146104381183
57	-1379.8824110953585	122.4698237777928
58	-1322.994783618862	85.93554998966266
59	-1345.5829858283184	78.76123721004224
60	-1344.161305264222	72.21061795995641
61	-1377.3325799132376	48.63605388277765
62	-1373.7052239390569	46.27352168192057
63	-1373.4278076318622	65.58646120994406
64	-1399.2374683360708	59.39799710050508
65	-1418.0109813091549	89.24923302729735
66	-1439.6086136691133	93.84379824040992
67	-1407.0569471737858	95.73139681077951
68	-1416.9566282208186	108.91164393183624
69	-1427.2053737216265	102.20637079822825
70	-1450.9723680160894	91.34506802918452
71	-1394.2156400992912	126.98281195907447
72	-1411.029397159314	97.5953823719564
73	-1397.0190609366784	112.90948886948527
74	-1492.424792792283	120.67069740607309
75	-1403.0096377641644	93.38205652904291
76	-1419.0416379154499	119.04948163709771
77	-1410.439345101005	96.82689284678426
78	-1433.6045495172814	107.29864784491994
79	-1458.5637689811651	88.77482737399407
80	-1453.324435017443	80.2188885375568
81	-1395.2019156925783	80.24532632575725
82	-1426.3775777567716	80.61170776775207
83	-1423.2083170166466	60.92362166031869
84	-1406.2706178657145	63.64192597913561
85	-1441.0091448545072	58.49398249098703
86	-1442.6574335252249	65.93389314130529
87	-1437.7702298829774	55.35735852809749
88	-1449.8937806046201	53.82953276633022
89	-1443.3349679287069	49.10530660001546
90	-1458.738837891305	51.247776793159886
91	-1466.5409422776847	69.84347236688374
92	-1489.5049094060337	55.480167942969295
93	-1492.244469709791	60.62404407875668
94	-1483.939992084666	64.83761261754813
95	-1486.0421758661582	51.84345829761919
96	-1494.7149761861688	71.12528444069684
97	-1471.3817887741543	62.26838715515754
98	-1497.5529003601125	61.72667571167035
99	-1509.8731541828172	56.75583769654461
100	-1490.288644261471	95.37924072023752
101	-1526.3862466753023	60.30361358873924
102	-1515.9299096455443	73.80342006329576
103	-1541.104409554368	65.47633448896202
104	-1520.5741698809097	77.05516648158701
105	-1537.766814121694	61.97194762717627
106	-1540.5961920833092	70.19469303682573
107	-1536.806970149706	95.20521596249188
108	-1507.701225692135	79.3073375835016
109	-1538.0780399957412	81.60241320626622
110	-1540.4897939554376	90.86366111585306
111	-1528.8722848527646	90.94837742759744
112	-1527.3821776674286	77.83420996812946
113	-1542.6977860206382	67.34506821622742
114	-1580.1514290137184	71.66670729482131
115	-1563.8135095441883	89.64587056199612
116	-1544.629441675806	92.00548275915254
117	-1560.4226557601921	67.17281652890259
118	-1545.0830008663806	81.95587506835231
119	-1557.3385713597286	54.19893459817392
120	-1550.4084521260688	81.14964057096842
121	-1517.77352456549	89.46726591684832
122	-1548.3192982399567	71.0681300413561
123	-1537.8793870171323	84.2812917340066
124	-1525.2949371027505	81.74181653234234
125	-1526.9230463087138	76.07624732076704
126	-1533.8220197746634	83.22511638572776
127	-1549.997657412897	72.62711246734175
128	-1528.1488602277486	57.597806213309276
129	-1568.5635188093438	63.31165851770382
130	-1560.646286950241	58.59426789787004
131	-1551.9630147225075	72.6442975638369
132	-1566.4444663442598	58.64642501645495
133	-1532.1093561588332	80.0382732457529
134	-1523.035843469712	78.88074316624524
135	-1563.3134819052616	54.1383288839608
136	-1550.6924702480403	78.14129936576886
137	-1546.237602715691	87.4518954727156
138	-1537.4823037656636	98.03272660517293
139	-1535.387581118017	97.5891641054245
140	-1507.06734873691	91.60781948444567
141	-1473.8283643856994	126.1906274109677
142	-1511.4664194581396	104.75535451032657
143	-1508.9920199887297	120.29431752347766
144	-1534.2798216008719	87.7386293071157
145	-1534.9618537287076	117.66784973675247
146	-1515.948299188783	97.21861319880674
147	-1414.8022829689542	130.7943580032818
148	-1511.510359818137	127.79018235928048
149	-1498.4211422257147	129.09651270045123
150	-1479.3068132724284	144.5256225898334
151	-1487.9778239899586	135.1071918530958
152	-1498.3377278060516	110.29329066899588
153	-1478.1724012612178	104.20502769763021
154	-1482.5927777294146	131.42162364625625
155	-1514.2074652486895	129.66541352611907
156	-1513.2796189709895	138.10562772379748
157	-1506.804744578133	143.18764072050766
158	-1510.6418083827991	136.41445016664417
159	-1543.0186524996734	119.2939688751952
160	-1494.9558610168046	144.18821616814674
161	-1535.556791994251	134.5604134949367
162	-1525.4544393086644	133.86980089897642
163	-1504.378139102959	127.30705054344472
164	-1488.6410831160572	131.59483221436727
165	-1451.8004460204584	143.34624285504555
166	-1513.1250236473677	139.33184849664886
167	-1507.6187794123698	149.26463329534062
168	-1487.0295872276765	144.96035862992633
169	-1507.212370230447	140.01206081547048
170	-1477.6891536834037	160.02439875017103
171	-1489.760096699384	147.23726988223788
172	-1486.0004354330636	144.2720412884205
173	-1468.747107365499	161.83612704669255
174	-1496.208218071494	143.83337583953767
175	-1472.884071574507	154.30209377514
176	-1441.8390168686556	148.89706631284002
177	-1484.1338133160027	153.26214286862495
178	-1508.479897700955	148.83866799209724
179	-1535.6062224689574	150.98519002324866
180	-1498.7813754417998	156.7790969419901
181	-1456.6686346859815	173.40522759151216
182	-1491.9432530101942	149.8125041018424
183	-1460.874667981498	158.47285398713367
184	-1493.0723647060076	135.0957117711248
185	-1451.723448464756	144.71861138212378
186	-1476.1712768632444	136.92404178499706
187	-1502.9327709491843	141.57362396996777
188	-1494.4038985729617	152.77798455172265
189	-1532.769416930262	116.2629543152796
190	-1486.6451470949062	129.80602440648923
191	-1490.8585032794442	115.65736800266353
192	-1472.85666792955	146.89953946405518
193	-1495.0418074319368	142.12158201661765
194	-1505.5943871960574	110.49653958079662
195	-1500.9894745708257	127.70434251085778
196	-1516.287214582227	120.21888133513406
197	-1519.1042495241177	129.19699242933726
198	-1467.8409617961402	126.7453224233899
199	-1486.6893311478786	133.85151743249662
200	-1474.8596518524955	144.98852467552646
201	-1522.1886623508537	109.83612897205104
202	-1508.938172940404	142.02355678065842
203	-1502.3353894639142	126.40144412156553
204	-1519.719366858423	131.8800840722303
205	-1484.4657453598543	135.43943313729395
206	-1430.4740901584937	140.38425209634505
207	-1500.4853620380181	127.90565739662162
208	-1503.4067651778914	145.75742480300903
209	-1506.5682330717018	110.36493499956329
210	-1480.7095525270622	114.14924914928977
211	-1515.8873553406409	124.52340195620677
