steps	avg_reward	std_reward
0	-500.0	0.0
1	-500.0	0.0
2	-500.0	0.0
3	-500.0	0.0
4	-500.0	0.0
5	-500.0	0.0
6	-500.0	0.0
7	-500.0	0.0
8	-500.0	0.0
9	-500.0	0.0
10	-500.0	0.0
11	-500.0	0.0
12	-500.0	0.0
13	-489.09090909090907	30.613290475200607
14	-487.3636363636364	39.95969043303679
15	-476.27272727272725	55.987159094484106
16	-469.45454545454544	59.992974795332394
17	-445.3333333333333	63.32105144069826
18	-441.9166666666667	94.61893603056185
19	-374.7142857142857	64.07409613813033
20	-393.6923076923077	88.04577884031485
21	-386.6923076923077	69.67549466069845
22	-321.8125	71.1083844827739
23	-325.25	66.1886508398532
24	-316.5	87.3462935676151
25	-264.55	77.2155910422241
26	-240.04761904761904	53.06552660040871
27	-243.28571428571428	63.147705049837114
28	-202.8	55.017815296501915
29	-200.72	61.25391089555017
30	-192.5	46.25701609984737
31	-196.8846153846154	81.39662009760362
32	-165.66666666666666	43.06609906746707
33	-162.51612903225808	37.43025425244539
34	-156.6875	49.72262909129002
35	-152.12121212121212	44.92131678347224
36	-138.47222222222223	24.11026304192091
37	-138.41666666666666	36.05349035345492
38	-135.9189189189189	34.727805183819456
39	-131.6578947368421	49.78864609304407
40	-122.17073170731707	21.866448783271455
41	-126.45	37.75907175765845
42	-117.27906976744185	26.027110714751327
43	-110.15555555555555	19.71119879724953
44	-104.25	19.306195033373786
45	-111.71111111111111	27.948064709164647
46	-101.32	15.464074495423255
47	-110.53333333333333	36.82547427468594
48	-103.35416666666667	20.588720195912025
49	-112.15555555555555	65.23494481251102
50	-103.39583333333333	23.094677943317492
51	-96.82692307692308	19.400358000112895
52	-101.3265306122449	31.156869557393115
53	-96.22641509433963	21.666112579746805
54	-103.20833333333333	29.519737982501734
55	-99.01960784313725	24.77228859429734
56	-88.64285714285714	13.052679762393309
57	-96.40384615384616	27.610101005153762
58	-95.3076923076923	20.348443960107446
59	-93.49056603773585	22.31221227625655
60	-98.92156862745098	31.067821532806413
61	-99.08	27.25937636850851
62	-96.63461538461539	33.9156356307336
63	-92.53703703703704	25.59782467823951
64	-94.67924528301887	40.308140282271864
65	-95.59615384615384	25.56384136250068
66	-90.63636363636364	25.10296153217685
67	-93.52830188679245	24.45913324308946
68	-94.18867924528301	35.895054898692315
69	-101.85714285714286	64.67469618429307
70	-84.94915254237289	14.089813279985878
71	-87.08771929824562	13.294611362865316
72	-92.29629629629629	24.807876310222923
73	-90.61818181818182	22.807088937107338
74	-93.14814814814815	28.75658211765027
75	-87.49122807017544	24.530770370762344
76	-87.84210526315789	26.247666211165885
77	-89.625	25.422545182798448
78	-88.875	20.88237679753638
79	-96.45454545454545	58.59376888429448
80	-100.13207547169812	52.25844257362364
81	-86.58620689655173	21.82456262765026
82	-88.625	17.8311149599313
83	-83.89830508474576	19.026025810563052
84	-91.83333333333333	22.394402409067744
85	-88.15789473684211	17.64940183240076
86	-88.10526315789474	21.688127733390697
87	-89.16071428571429	28.09090904400154
88	-92.44444444444444	29.66208870212682
89	-87.70175438596492	21.706951681617916
90	-84.16949152542372	16.438021801859332
91	-87.32758620689656	22.883805394776818
92	-87.87719298245614	27.470603219504657
93	-86.80701754385964	22.80769229771089
94	-99.2	60.00666629633744
95	-85.70689655172414	21.997655533926757
96	-91.07272727272728	31.32809052908184
97	-88.78571428571429	33.261257109282504
98	-92.12962962962963	29.101384908050846
99	-90.65454545454546	36.38042339791513
100	-81.77049180327869	13.008689961415326
101	-82.0	16.420698653294114
102	-85.37931034482759	19.732545832750958
103	-87.0	15.832456116050556
104	-88.45614035087719	34.67749671019471
105	-100.44	68.75962768950978
106	-83.83050847457628	16.39672615356532
107	-83.03333333333333	15.912224511013187
108	-97.3921568627451	38.49781171849446
109	-84.94915254237289	19.799352607815113
110	-87.28070175438596	23.065698985354405
111	-90.47272727272727	26.37619763447515
112	-83.66666666666667	20.12267930028758
113	-85.94827586206897	22.25976919497494
114	-92.11111111111111	39.357650988823316
115	-83.28333333333333	27.325257953443412
116	-86.03448275862068	22.205905953489488
117	-84.76271186440678	19.006099808585844
118	-89.9090909090909	36.659748909159816
119	-86.29310344827586	17.50862705648537
120	-86.91228070175438	22.74749317343765
121	-86.94827586206897	22.469460050441416
122	-88.63157894736842	29.43540747630987
