steps	avg_reward	std_reward
0	-1246.9122505709893	305.8750666842537
1	-1346.0403194848714	298.52601768189095
2	-1305.4032439491364	289.6911881296606
3	-1262.9547701429992	273.238681649786
4	-1412.9416969173521	214.62453789014808
5	-1494.2668836084774	229.42310447652122
6	-1489.7912717715176	205.2040514649539
7	-1467.7629665536372	173.10432087295078
8	-1482.699767229591	189.22625004279206
9	-1569.83902017206	158.7367757067534
10	-1565.455041813938	117.19635344178965
11	-1637.4692450544674	143.72708025461097
12	-1636.4537738319152	135.7930981444674
13	-1641.091877250397	140.05829201525066
14	-1670.1588094191873	129.29439426853756
15	-1713.5306074628534	102.85455476746627
16	-1690.0020143987633	106.47942486555668
17	-1730.848690589483	104.8456890108184
18	-1740.9030316868623	120.819522800619
19	-1718.1216838550122	102.1882371494936
20	-1752.67698750428	87.4039593046505
21	-1766.1795885622137	90.67833492018408
22	-1772.0400377690737	89.38936186674539
23	-1751.769586109814	109.24774139415327
24	-1785.6212128658951	93.64693160244481
25	-1784.5452772982833	67.7763612990224
26	-1802.8131241037875	80.42644024014851
27	-1780.3066866688234	79.705158415852
28	-1778.5127370653236	79.15424806761713
29	-1744.3332225955548	73.69051170704059
30	-1764.7304373965485	83.59290824794763
31	-1760.0023180420983	72.80787436008724
32	-1749.5319879879257	79.7843626100796
33	-1729.7333840921908	57.52173443988488
34	-1714.0672877914287	63.01902339418325
35	-1718.6960138059676	79.65976636798256
36	-1681.7234804435786	62.394837168522436
37	-1667.8636340008277	64.95008937031713
38	-1630.022210019407	96.40097303085963
39	-1645.2471551402698	55.177711979630935
40	-1618.6260656084698	60.86088742134859
41	-1619.4543328466395	55.631098595500994
42	-1607.1004805227176	59.51124378556042
43	-1598.9546388720712	49.80601636980369
44	-1574.9206970074547	54.019861590573186
45	-1545.7555569623635	91.85775353717045
46	-1518.4613980818228	106.16842978134815
47	-1532.9122336858682	65.12583350035737
48	-1524.1688444350327	57.51565277552471
49	-1517.1779790385574	60.836183366453945
50	-1502.1709779959087	41.78328079321132
51	-1493.234756716601	66.2242742114748
52	-1493.1511672870338	67.77260705517591
53	-1464.4704852215111	68.3325126487611
54	-1482.0878329831999	67.70661748685853
55	-1456.2984009804538	68.95176706816584
56	-1476.1264527922594	59.78079199764194
57	-1483.1856024780564	36.198102383990665
58	-1473.6538473938622	47.10801642328284
59	-1470.9438956470922	59.13208384734065
60	-1453.6344387530366	64.83101000366212
61	-1461.799256765262	48.488243125946646
62	-1450.6122003790795	85.64277498599536
63	-1468.0803082811983	50.200958422669025
64	-1448.8199185401306	56.388620511248185
65	-1463.2982098412647	63.040463777819824
66	-1474.7863981166854	53.31579118335727
67	-1489.9092078493077	35.24743359545758
68	-1461.7741076821437	44.51433279077662
69	-1429.1200287376162	100.38893435488612
70	-1466.709779808481	48.17165546374357
71	-1448.6635421212768	72.67787475236219
72	-1446.1676088085692	72.57640879999678
73	-1459.2869104444753	73.9098859398593
74	-1441.7136481207524	78.67416796012772
75	-1452.4919572697454	42.64162003983146
76	-1432.196433257311	95.67774184220782
77	-1472.4683549000338	35.10644769782301
78	-1454.2091924652998	66.7701564307554
79	-1470.1577786255393	45.86493479853869
80	-1444.2697485078347	92.33827806670612
81	-1447.5908927167336	79.9809321596026
82	-1464.4551143755612	46.85466190347084
83	-1461.6162726220095	56.42730152817192
84	-1468.358279482692	41.86606380361182
85	-1470.0816977661455	42.312225116675876
86	-1453.9015159568455	44.318292664373
87	-1455.2767769370728	63.2856780101722
88	-1476.1331180881657	34.565875520067046
89	-1461.9943540523027	57.96161239342992
90	-1448.637254682582	64.9108442350479
91	-1433.8972170721934	92.65866407966882
92	-1466.3900561411024	44.308365557399675
93	-1453.9967226619679	58.965423894826465
94	-1440.3350720941244	90.21656911350404
95	-1455.4595646444814	65.3912125426432
96	-1462.9415357552941	52.27170879663418
97	-1440.9642769332904	75.1339693906439
98	-1452.141307402076	73.51345038798782
99	-1445.260112582411	67.8912144247437
100	-1442.5843175794257	62.084155309646675
101	-1444.7386520102802	72.14429109962454
102	-1429.8045791421234	72.96539030584772
103	-1459.738225794764	69.9082121190297
104	-1460.5093686792543	58.96102686528053
105	-1465.9395659077518	46.48545559106901
106	-1469.946185182563	58.584146694272
107	-1453.6924266776298	58.756866997349164
